"wm_freq2","comb_freq2","beat","signal"
13115.65458396,13115.65366197,-60.83594539,0.0704874396722823
13115.65458422,13115.65366201,-60.83522007,0.0884682082422838
13115.65458777,13115.653662,-60.8353181,0.0887361481053079
13115.65462483,13115.65370133,-60.83520668,0.106522037598477
13115.65462314,13115.65370132,-60.83587641,0.0763524915166495
13115.65462448,13115.65370131,-60.83538345,0.0714515871584062
13115.65466301,13115.65374066,-60.83444067,0.0772972160791449
13115.65466448,13115.65374071,-60.83464715,0.0706887424785289
13115.65466391,13115.65374066,-60.83512645,0.0491659123496539
13115.6546914,13115.65376686,-60.83541749,0.0840840047738783
13115.65468977,13115.65376691,-60.83535368,0.0770407252864141
13115.65469053,13115.65376688,-60.83515954,0.0861633775443189
13115.65473198,13115.65380624,-60.83555587,0.0782941199378911
13115.65472965,13115.65380621,-60.83559611,0.0946983340312571
13115.65473052,13115.65380623,-60.83566362,0.094130342013544
13115.65476733,13115.6538456,-60.83539014,0.0454991685940636
13115.6547667,13115.65384552,-60.83621217,0.07348416048612
13115.65476832,13115.65384552,-60.83621724,0.0839193015751014
13115.65480788,13115.65388489,-60.83567039,0.0930877306507404
13115.65480847,13115.65388486,-60.83634141,0.0780666856768458
13115.65480847,13115.65388486,-60.83633195,0.122164339469597
